Jawa Barat, Latitude, Longtitude
Kota Bandung, -6.9147444, 107.6098111
Kota Bekasi, -6.2849775, 106.970127
Kota Bogor, -6.5951935, 106.791892
Kota Cimahi, -6.880239, 107.5355
Kota Cirebon, -6.715534, 108.564003
Kota Depok, -6.3876714, 106.7353949
Kota Sukabumi, -6.92405, 106.922203
Kota Tasikmalaya, -7.327954, 108.214104
Kota Banjar, -7.3666667, 108.5333333
Kabupaten Bandung, -6.9147444, 107.6098111
Kabupaten Bandung Barat, -6.8937121, 107.4321959
Kabupaten Bekasi, -6.2673504, 106.9421268
Kabupaten Bogor, -6.5445738, 106.4844251
Kabupaten Ciamis, -7.3113199, 108.4474163
Kabupaten Cianjur, -6.8172531, 107.1307289
Kabupaten Cirebon, -6.715534, 108.564003
Kabupaten Garut, -7.227906, 107.908699
Kabupaten Indramayu, -6.336315, 108.325104
Kabupaten Karawang, -6.3227303, 107.3375791
Kabupaten Kuningan, -6.9833333, 108.4833333
Kabupaten Majalengka, -6.8531026, 108.2258897
Kabupaten Pangandaran, -7.6404586, 108.5566925
Kabupaten Purwakarta, -6.5386806, 107.4499404
Kabupaten Subang, -6.569361, 107.752403
Kabupaten Sukabumi, -6.92405, 106.922203
Kabupaten Sumedang, -6.8098927, 107.9805011
Kabupaten Tasikmalaya, -7.327954, 108.214104